Architecture,Core_Speed,DVI_Connection,Dedicated,Direct_X,HDMI_Connection,Integrated,L2_Cache,Manufacturer,Max_Power,Memory,Memory_Bandwidth,Memory_Bus,Memory_Speed,Memory_Type,Name,Notebook_GPU,Open_GL,PSU,Pixel_Rate,Power_Connector,Process,ROPs,Release_Date,Resolution_WxH,SLI_Crossfire,Shader,TMUs,Texture_Rate,VGA_Connection
Fermi GF116-400-A1 (x2),910 MHz,1,Yes,DX 12.0,1,No,384KB(x2),Nvidia,250 Watts,2048 MB,196.8GB/sec,192 Bit,1025 MHz,GDDR5,GeForce GTX 550 Ti Asus Edition SLI,No,4.5,600 Watt & 42 Amps,44 GPixel/s,2x 6-pin,40nm,24 (x2),15-Mar-2011,2560x1600,Yes,5,32,58 GTexel/s,0
Fermi GF116-400-A1,910 MHz,2,Yes,DX 12.0,1,No,384KB,Nvidia,116 Watts,1024 MB,98.5GB/sec,192 Bit,1026 MHz,GDDR5,GeForce GTX 550 Ti Asus Edition,No,4.5,450 Watt & 28 Amps,22 GPixel/s,1x 6-pin,40nm,24,01-Mar-2011,2560x1600,Yes,5,32,29 GTexel/s,0
Fermi GF116-400-A1,900 MHz,2,Yes,DX 12.0,1,No,384KB,Nvidia,116 Watts,1024 MB,98.4GB/sec,192 Bit,1025 MHz,GDDR5,GeForce GTX 550 Ti,No,4.5,400 Watt & 28 Amps,22 GPixel/s,1x 6-pin,40nm,24,15-Mar-2011,2560x1600,Yes,5,32,29 GTexel/s,0
Fermi GF116-400-A1,720 MHz,1,Yes,DX 12.0,1,No,384KB,Nvidia,70 Watts,3072 MB,38.4GB/sec,192 Bit,800 MHz,DDR3,GeForce GT 545 3GB,No,4.5,400 Watt & 29 Amps,12 GPixel/s,None,40nm,16,14-May-2011,2560x1600,Yes,5,24,17 GTexel/s,1
Fermi GF116-400-A1,720 MHz,1,Yes,DX 12.0,1,No,384KB,Nvidia,70 Watts,1536 MB,38.4GB/sec,192 Bit,800 MHz,DDR3,GeForce GT 545 1.5GB,No,4.5,400 Watt & 29 Amps,12 GPixel/s,None,40nm,16,14-May-2011,2560x1600,Yes,5,24,17 GTexel/s,1
Fermi GF119-300-A1,810 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,29 Watts,1024 MB,8.5GB/sec,64 Bit,533 MHz,DDR3,GeForce GT 520 Zotac Synergy 1GB Edition,No,4.5,300 Watt & 18 Amps,3 GPixel/s,None,40nm,4,01-May-2011,2560x1600,No,5,8,6 GTexel/s,1
Fermi GF116-400-KD-A1,870 MHz,2,Yes,DX 12.0,1,No,256KB,Nvidia,105 Watts,1024 MB,63.9GB/sec,128 Bit,999 MHz,GDDR5,GeForce GT 545 (OEM),No,4.5,400 Watt & 29 Amps,14 GPixel/s,1x 6-pin,40nm,16,14-May-2011,2560x1600,Yes,5,24,21 GTexel/s,0
Fermi GF119-300-A1,598 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,29 Watts,1024 MB,8GB/sec,64 Bit,500 MHz,DDR3,GeForce GT 520 v4,No,4.5,300 Watt & 22 Amps,2 GPixel/s,None,40nm,4,20-Aug-2012,2560x1600,No,5,16,10 GTexel/s,1
Fermi GF108-200-A1,810 MHz,1,Yes,DX 12.0,1,No,256KB,Nvidia,29 Watts,2048 MB,14.4GB/sec,64 Bit,898 MHz,DDR3,GeForce GT 520 v3,No,4.5,300 Watt & 22 Amps,2 GPixel/s,None,40nm,2,01-Feb-2012,2560x1600,No,5,8,6 GTexel/s,1
Fermi GF119-300-A1,810 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,29 Watts,1024 MB,10.7GB/sec,64 Bit,667 MHz,DDR3,GeForce GT 520 Gigabyte 1GB Edition,No,4.5,300 Watt & 22 Amps,3 GPixel/s,None,40nm,4,13-Apr-2011,2560x1600,No,5,8,6 GTexel/s,1
Fermi GF108-300-A1,700 MHz,1,Yes,DX 12.0,1,No,256KB,Nvidia,50 Watts,1024 MB,28.8GB/sec,128 Bit,900 MHz,DDR3,GeForce GT 530,No,4.5,300 Watt & 22 Amps,3 GPixel/s,None,40nm,4,14-May-2011,2560x1600,Yes,5,16,11 GTexel/s,1
Fermi GF108-200-A1,700 MHz,1,Yes,DX 12.0,1,No,256KB,Nvidia,29 Watts,1024 MB,10.7GB/sec,64 Bit,667 MHz,DDR3,GeForce GT 520 v2,No,4.5,300 Watt & 22 Amps,1 GPixel/s,None,40nm,2,01-Feb-2012,2560x1600,No,5,8,6 GTexel/s,1
Fermi GF119-300-A1,810 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,29 Watts,1024 MB,14.4GB/sec,64 Bit,900 MHz,DDR3,GeForce GT 520,No,4.5,300 Watt & 22 Amps,3 GPixel/s,None,40nm,4,13-Apr-2011,2560x1600,No,5,8,6 GTexel/s,1
Fermi GF119-300-A1,810 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,29 Watts,2048 MB,9.6GB/sec,64 Bit,600 MHz,DDR3,GeForce GT 520 Asus Silent Low Profile 2GB Edition,No,4.5,300 Watt & 22 Amps,3 GPixel/s,None,40nm,4,13-Jun-2013,2560x1600,No,5,8,6 GTexel/s,1
Maxwell GM204-400-A1,1202 MHz,1,Yes,DX 12.1,1,No,2048KB,Nvidia,170 Watts,4096 MB,230.4GB/sec,256 Bit,1800 MHz,GDDR5,GeForce GTX 980 Zotac AMP! Omega 4GB Edition,No,4.5,500 Watt & 42 Amps,83 GPixel/s,1x 6-pin + 1x 8-pin,28nm,64,19-Sep-2014,5120x3200,Yes,5,128,167 GTexel/s,0
Fermi GF119-300-A1,810 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,29 Watts,1024 MB,9.6GB/sec,64 Bit,600 MHz,DDR3,GeForce GT 520 Asus Silent Low Profile 1GB Edition,No,4.5,300 Watt & 22 Amps,3 GPixel/s,None,40nm,4,13-Jun-2013,2560x1600,No,5,8,6 GTexel/s,1
Maxwell GM204-400-A1 (x2),1291 MHz,1,Yes,DX 12.1,1,No,2048KB(x2),Nvidia,350 Watts,8192 MB,460.8GB/sec,256 Bit,1800 MHz,GDDR5,GeForce GTX 980 Zotac AMP! Extreme 4GB Edition SLI,No,4.5,750 Watt & 42 Amps,39 GPixel/s,None,28nm,14 (x2),19-Sep-2014,4096x2160,Yes,5,128,357 GTexel/s,0
Fermi GF119-300-A1,810 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,29 Watts,1024 MB,8.6GB/sec,64 Bit,535 MHz,DDR3,GeForce GT 520 Gainward SilentFX 1GB Edition,No,4.5,300 Watt & 22 Amps,3 GPixel/s,None,40nm,4,13-Jun-2013,2560x1600,No,5,8,6 GTexel/s,1
Maxwell GM204-400-A1,1291 MHz,1,Yes,DX 12.1,1,No,2048KB,Nvidia,185 Watts,4096 MB,230.4GB/sec,256 Bit,1800 MHz,GDDR5,GeForce GTX 980 Zotac AMP! Extreme 4GB Edition,No,4.5,600 Watt & 42 Amps,89 GPixel/s,1x 6-pin + 1x 8-pin,28nm,64,19-Sep-2014,5120x3200,Yes,5,128,178 GTexel/s,0
Maxwell GM204-400-A1,1126 MHz,1,Yes,DX 12.1,1,No,2048KB,Nvidia,165 Watts,4096 MB,224.4GB/sec,256 Bit,1753 MHz,GDDR5,GeForce GTX 980 Zotac 4GB Edition,No,4.5,500 Watt & 42 Amps,78 GPixel/s,2x 6-pin,28nm,64,19-Sep-2014,5120x3200,Yes,5,128,156 GTexel/s,0
Maxwell GM204-400-A1,1165 MHz,1,Yes,DX 12.1,1,No,2048KB,Nvidia,170 Watts,4096 MB,224.4GB/sec,256 Bit,1753 MHz,GDDR5,GeForce GTX 980 Zotac AMP! 4GB Edition,No,4.5,500 Watt & 42 Amps,81 GPixel/s,2x 8-pin,28nm,64,19-Sep-2014,5120x3200,Yes,5,128,162 GTexel/s,0
Fermi GF119-200-A1,523 MHz,1,Yes,DX 12.0,1,No,128KB,Nvidia,25 Watts,1024 MB,14.4GB/sec,64 Bit,898 MHz,DDR3,GeForce 510,No,4.5,300 Watt & 22 Amps,2 GPixel/s,None,40nm,4,29-Sep-2011,2560x1600,No,5,8,4 GTexel/s,1
Maxwell GM200-310-A1,1025 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti Zotac ArcticStorm 6GB Edition,No,4.5,600 Watt & 42 Amps,107 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,196 GTexel/s,0
Maxwell GM200-310-A1,1051 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti Zotac AMP! 6GB Edition,No,4.5,600 Watt & 42 Amps,109 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,201 GTexel/s,0
Maxwell GM200-310-A1 (x2),1253 MHz,1,Yes,DX 12.1,1,No,3072KB(x2),Nvidia,500 Watts,12288 MB,692.4GB/sec,384 Bit,1803 MHz,GDDR5,GeForce GTX 980 Ti Zotac AMP! Extreme 6GB Edition SLI,No,4.5,800 Watt & 50 Amps,260 GPixel/s,None,28nm,96 (x2),02-Jun-2015,5120x3200,Yes,5,176,477 GTexel/s,0
Maxwell GM200-310-A1,1253 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,346.2GB/sec,384 Bit,1803 MHz,GDDR5,GeForce GTX 980 Ti Zotac AMP! Extreme 6GB Edition,No,4.5,600 Watt & 42 Amps,130 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,238 GTexel/s,0
Maxwell GM200-310-A1,1000 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti Zotac 6GB Edition,No,4.5,600 Watt & 42 Amps,103 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,189 GTexel/s,0
Maxwell GM200-310-A1,1165 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti PNY XLR8 OC 6GB Edition,No,4.5,600 Watt & 42 Amps,122 GPixel/s,2x 8-pin,28nm,96,07-Jul-2015,5120x3200,Yes,5,176,223 GTexel/s,0
Maxwell GM200-310-A1,1152 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,280 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti Palit Super JetStream 6GB Edition,No,4.5,600 Watt & 42 Amps,119 GPixel/s,1x 6-pin,28nm,96,15-Jun-2015,5120x3200,Yes,5,176,218 GTexel/s,0
Maxwell GM200-310-A1,1000 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti Palit JetStream 6GB Edition,No,4.5,600 Watt & 42 Amps,103 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,189 GTexel/s,0
Maxwell GM200-310-A1,1000 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti Palit 6GB Edition,No,4.5,600 Watt & 42 Amps,103 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,189 GTexel/s,0
Maxwell GM200-310-A1,1190 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,340.6GB/sec,384 Bit,1774 MHz,GDDR5,GeForce GTX 980 Ti MSI Gaming Golden 6GB Edition,No,4.5,600 Watt & 42 Amps,124 GPixel/s,2x 8-pin,28nm,96,01-Oct-2015,5120x3200,Yes,5,176,227 GTexel/s,0
Maxwell GM200-310-A1,1190 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,340.6GB/sec,384 Bit,1774 MHz,GDDR5,GeForce GTX 980 Ti MSI Sea Hawk 6GB Edition,No,4.5,600 Watt & 42 Amps,124 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,26-Aug-2015,5120x3200,Yes,5,176,227 GTexel/s,0
Maxwell GM200-310-A1,1000 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti MSI 6GB Edition,No,4.5,600 Watt & 42 Amps,103 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,189 GTexel/s,0
Maxwell GM200-310-A1 (x2),1178 MHz,1,Yes,DX 12.1,1,No,3072KB(x2),Nvidia,500 Watts,12288 MB,681.6GB/sec,384 Bit,1775 MHz,GDDR5,GeForce GTX 980 Ti MSI Gaming 6GB Edition SLI,No,4.5,850 Watt & 50 Amps,246 GPixel/s,2x 8-pin,28nm,96 (x2),02-Jun-2015,5120x3200,Yes,5,176,450 GTexel/s,0
Maxwell GM200-310-A1,1203 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,340.6GB/sec,384 Bit,1774 MHz,GDDR5,GeForce GTX 980 Ti MSI Lightning 6GB Edition,No,4.5,600 Watt & 42 Amps,125 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,26-Aug-2015,5120x3200,Yes,5,176,230 GTexel/s,0
Maxwell GM200-310-A1,1102 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti MSI Armor 2X OC 6GB Edition,No,4.5,600 Watt & 42 Amps,114 GPixel/s,2x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,209 GTexel/s,0
Maxwell GM200-310-A1,1152 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,280 Watts,6144 MB,345.6GB/sec,384 Bit,1800 MHz,GDDR5,GeForce GTX 980 Ti Inno3D iChill X4 Ultra 6GB Edition,No,4.5,600 Watt & 42 Amps,119 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,218 GTexel/s,0
Maxwell GM200-310-A1,1152 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,280 Watts,6144 MB,345.6GB/sec,384 Bit,1800 MHz,GDDR5,GeForce GTX 980 Ti Inno3D iChill X3 Ultra 6GB Edition,No,4.5,600 Watt & 42 Amps,119 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,218 GTexel/s,0
Maxwell GM200-310-A1,1216 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,345.6GB/sec,384 Bit,1800 MHz,GDDR5,GeForce GTX 980 Ti Gigabyte XTREME Water 6GB Edition,No,4.5,600 Watt & 42 Amps,126 GPixel/s,2x 8-pin,28nm,96,11-Nov-2015,5120x3200,Yes,5,176,232 GTexel/s,0
Maxwell GM200-310-A1,1178 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,340.8GB/sec,384 Bit,1775 MHz,GDDR5,GeForce GTX 980 Ti MSI Gaming 6GB Edition,No,4.5,600 Watt & 42 Amps,123 GPixel/s,2x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,225 GTexel/s,0
Maxwell GM200-310-A1,1206 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,290 Watts,6144 MB,349.4GB/sec,384 Bit,1820 MHz,GDDR5,GeForce GTX 980 Ti Inno3D iChill Black 6GB Edition,No,4.5,600 Watt & 42 Amps,125 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,230 GTexel/s,0
Maxwell GM200-310-A1,1216 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,345.6GB/sec,384 Bit,1800 MHz,GDDR5,GeForce GTX 980 Ti Gigabyte XTREME 6GB Edition,No,4.5,600 Watt & 42 Amps,126 GPixel/s,2x 8-pin,28nm,96,11-Nov-2015,5120x3200,Yes,5,176,232 GTexel/s,0
Maxwell GM200-310-A1,1190 MHz,2,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti Gigabyte G1 Gaming 6GB Edition,No,4.5,600 Watt & 42 Amps,124 GPixel/s,2x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,227 GTexel/s,0
Maxwell GM200-310-A1,1000 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti Gigabyte 6GB Edition,No,4.5,600 Watt & 42 Amps,103 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,189 GTexel/s,0
Maxwell GM200-310-A1,1190 MHz,2,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti Gigabyte WindForce 3X OC 6GB Edition,No,4.5,600 Watt & 42 Amps,124 GPixel/s,2x 8-pin,28nm,96,01-Sep-2015,5120x3200,Yes,5,176,227 GTexel/s,0
Maxwell GM200-310-A1 (x2),1190 MHz,2,Yes,DX 12.1,1,No,3072KB(x2),Nvidia,500 Watts,12288 MB,673.2GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti Gigabyte G1 Gaming 6GB Edition SLI,No,4.5,700 Watt & 50 Amps,248 GPixel/s,None,28nm,96 (x2),02-Jun-2015,5120x3200,Yes,5,176,454 GTexel/s,0
Maxwell GM200-310-A1,1203 MHz,2,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti Galax HOF WaterCooled 6GB Edition,No,4.5,600 Watt & 42 Amps,125 GPixel/s,2x 8-pin,28nm,96,09-Jun-2015,5120x3200,Yes,5,176,230 GTexel/s,0
Maxwell GM200-310-A1 (x2),1000 MHz,1,Yes,DX 12.1,1,No,3072KB(x2),Nvidia,500 Watts,12288 MB,673.2GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti Gigabyte 6GB Edition SLI,No,4.5,800 Watt & 53 Amps,207 GPixel/s,None,28nm,96 (x2),02-Jun-2015,4096x2160,Yes,5,176,379 GTexel/s,0
Maxwell GM200-310-A1,1102 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti EVGA Superclocked+ ACX 2.0+ 6GB Edition,No,4.5,600 Watt & 42 Amps,114 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,209 GTexel/s,0
Maxwell GM200-310-A1,1190 MHz,2,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti Galax HOF 6GB Edition,No,4.5,600 Watt & 42 Amps,124 GPixel/s,2x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,227 GTexel/s,0
Maxwell GM200-310-A1 (x2),1102 MHz,1,Yes,DX 12.1,1,No,3072KB(x2),Nvidia,250 Watts,12288 MB,673.2GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti EVGA Superclocked ACX 2.0+ 6GB Edition SLI,No,4.5,800 Watt & 50 Amps,228 GPixel/s,3x 8-pin,28nm,96 (x2),02-Jun-2015,5120x3200,Yes,5,176,419 GTexel/s,0
Maxwell GM200-310-A1,1102 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti EVGA Superclocked ACX 2.0+ 6GB Edition,No,4.5,600 Watt & 42 Amps,114 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,209 GTexel/s,0
Maxwell GM200-310-A1,1102 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti EVGA Superclocked 6GB Edition,No,4.5,600 Watt & 42 Amps,114 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,209 GTexel/s,0
Maxwell GM200-310-A1,1140 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti EVGA Hydro Copper 6GB Edition,No,4.5,600 Watt & 42 Amps,118 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,216 GTexel/s,0
Maxwell GM200-310-A1 (x2),1190 MHz,1,Yes,DX 12.1,1,No,3072KB(x2),Nvidia,600 Watts,12288 MB,673.2GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti EVGA Classified ACX 2.0+ 6GB Edition SLI,No,4.5,850 Watt & 50 Amps,248 GPixel/s,None,28nm,96 (x2),02-Jun-2015,5120x3200,Yes,5,176,454 GTexel/s,0
Maxwell GM200-310-A1,1203 MHz,2,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti Galax HOF LN2 6GB Edition,No,4.5,600 Watt & 42 Amps,125 GPixel/s,3x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,230 GTexel/s,0
Maxwell GM200-310-A1,1190 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,300 Watts,6144 MB,340.6GB/sec,384 Bit,1774 MHz,GDDR5,GeForce GTX 980 Ti EVGA Kingpin 6GB Edition,No,4.5,500 Watt & 33 Amps,124 GPixel/s,None,28nm,96,21-Jul-2015,5120x3200,Yes,5,176,227 GTexel/s,0
Maxwell GM200-310-A1,1140 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti EVGA Hybrid 6GB Edition,No,4.5,600 Watt & 42 Amps,118 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,216 GTexel/s,0
Maxwell GM200-310-A1,1190 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,275 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti EVGA FTW ACX 2.0+ 6GB Edition,No,4.5,600 Watt & 42 Amps,124 GPixel/s,2x 8-pin,28nm,96,11-Sep-2015,5120x3200,Yes,5,176,227 GTexel/s,0
Maxwell GM200-310-A1,1000 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti EVGA ACX 2.0+ 6GB Edition,No,4.5,600 Watt & 42 Amps,103 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,189 GTexel/s,0
Maxwell GM200-310-A1,1216 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,375 Watts,6144 MB,345.6GB/sec,384 Bit,1800 MHz,GDDR5,GeForce GTX 980 Ti Asus DirectCU III OC Strix Gaming 6GB Edition,No,4.5,750 Watt & 50 Amps,126 GPixel/s,2x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,232 GTexel/s,0
Maxwell GM200-310-A1,1190 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,300 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti EVGA Classified ACX 2.0+ 6GB Edition,No,4.5,600 Watt & 42 Amps,124 GPixel/s,2x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,227 GTexel/s,0
Maxwell GM200-310-A1,1000 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti EVGA 6GB Edition,No,4.5,600 Watt & 42 Amps,103 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,189 GTexel/s,0
Maxwell GM200-310-A1,1000 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti Asus 6GB Edition,No,4.5,600 Watt & 42 Amps,103 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,02-Jun-2015,5120x3200,Yes,5,176,189 GTexel/s,0
Maxwell GM204-400-A1,1127 MHz,1,Yes,DX 12.1,1,No,2048KB,Nvidia,165 Watts,4096 MB,224.4GB/sec,256 Bit,1753 MHz,GDDR5,GeForce GTX 980 Point of View 4GB Edition,No,4.5,500 Watt & 42 Amps,78 GPixel/s,2x 6-pin,28nm,64,19-Sep-2014,5120x3200,Yes,5,128,156 GTexel/s,0
Maxwell GM200-310-A1 (x2),1216 MHz,1,Yes,DX 12.1,1,No,3072KB(x2),Nvidia,750 Watts,12288 MB,691.2GB/sec,384 Bit,1800 MHz,GDDR5,GeForce GTX 980 Ti Asus DirectCU III OC Strix Gaming 6GB SLI,No,4.5,1000 Watt & 50 Amps,253 GPixel/s,3x 8-pin,28nm,96 (x2),02-Jun-2015,5120x3200,Yes,5,176,464 GTexel/s,0
Maxwell GM200-310-A1 (x2),1000 MHz,1,Yes,DX 12.1,1,No,3072KB(x2),Nvidia,500 Watts,12288 MB,673.2GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti 6GB SLI,No,4.5,800 Watt & 53 Amps,207 GPixel/s,None,28nm,96 (x2),02-Jun-2015,4096x2160,Yes,5,176,379 GTexel/s,0
Maxwell GM204-400-A1,1228 MHz,1,Yes,DX 12.1,1,No,2048KB,Nvidia,180 Watts,4096 MB,224.4GB/sec,256 Bit,1753 MHz,GDDR5,GeForce GTX 980 PNY XLR8 Pro OC 4GB Edition,No,4.5,600 Watt & 42 Amps,85 GPixel/s,1x 6-pin + 1x 8-pin,28nm,64,01-Jan-2015,5120x3200,Yes,5,128,170 GTexel/s,0
Maxwell GM204-400-A1,1127 MHz,1,Yes,DX 12.1,1,No,2048KB,Nvidia,180 Watts,4096 MB,224.4GB/sec,256 Bit,1753 MHz,GDDR5,GeForce GTX 980 Palit Trio 4GB Edition,No,4.5,500 Watt & 42 Amps,78 GPixel/s,1x 6-pin + 1x 8-pin,28nm,64,01-Jun-2015,5120x3200,Yes,5,128,156 GTexel/s,0
Maxwell GM200-310-A1,1000 MHz,1,Yes,DX 12.1,1,No,3072KB,Nvidia,250 Watts,6144 MB,336.6GB/sec,384 Bit,1753 MHz,GDDR5,GeForce GTX 980 Ti 6GB,No,4.5,600 Watt & 42 Amps,103 GPixel/s,1x 6-pin + 1x 8-pin,28nm,96,01-Jun-2015,5120x3200,Yes,5,176,189 GTexel/s,0
